time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,18,12,0,0
2025-02-13 00:00:00+00:00,20,12,2,2
2025-02-14 00:00:00+00:00,24,14,0,0
2025-02-15 00:00:00+00:00,31,17,0,0
2025-02-16 00:00:00+00:00,30,19,0,0
2025-02-17 00:00:00+00:00,24,14,0,0
2025-02-18 00:00:00+00:00,25,15,1,1
2025-02-19 00:00:00+00:00,23,14,0,0
2025-02-20 00:00:00+00:00,26,16,5,1
2025-02-21 00:00:00+00:00,23,16,0,0
2025-02-22 00:00:00+00:00,20,12,0,0
2025-02-23 00:00:00+00:00,22,15,0,0
2025-02-24 00:00:00+00:00,26,16,1,1
2025-02-25 00:00:00+00:00,26,15,0,0
2025-02-26 00:00:00+00:00,34,23,0,0
2025-02-27 00:00:00+00:00,27,16,5,3
2025-02-28 00:00:00+00:00,17,11,0,0
2025-03-01 00:00:00+00:00,30,21,0,0
2025-03-02 00:00:00+00:00,18,12,2,2
2025-03-03 00:00:00+00:00,31,18,1,1
2025-03-04 00:00:00+00:00,29,18,1,1
2025-03-05 00:00:00+00:00,33,19,0,0
2025-03-06 00:00:00+00:00,30,19,0,0
2025-03-07 00:00:00+00:00,29,18,2,1
2025-03-08 00:00:00+00:00,32,21,0,0
2025-03-09 00:00:00+00:00,33,21,0,0
2025-03-10 00:00:00+00:00,30,21,0,0
2025-03-11 00:00:00+00:00,27,18,0,0
2025-03-12 00:00:00+00:00,33,19,0,0
2025-03-13 00:00:00+00:00,31,20,2,1
2025-03-14 00:00:00+00:00,26,17,1,1
2025-03-15 00:00:00+00:00,33,20,0,0
2025-03-16 00:00:00+00:00,20,14,0,0
2025-03-17 00:00:00+00:00,19,12,0,0
2025-03-18 00:00:00+00:00,18,12,0,0
2025-03-19 00:00:00+00:00,22,14,2,1
2025-03-20 00:00:00+00:00,28,19,0,0
2025-03-21 00:00:00+00:00,29,20,0,0
2025-03-22 00:00:00+00:00,30,18,0,0
2025-03-23 00:00:00+00:00,34,22,0,0
2025-03-24 00:00:00+00:00,29,18,1,1
2025-03-25 00:00:00+00:00,24,16,0,0
2025-03-26 00:00:00+00:00,26,17,0,0
2025-03-27 00:00:00+00:00,31,20,2,2
2025-03-28 00:00:00+00:00,21,13,0,0
2025-03-29 00:00:00+00:00,28,18,0,0
2025-03-30 00:00:00+00:00,32,20,0,0
2025-03-31 00:00:00+00:00,30,19,2,2
2025-04-01 00:00:00+00:00,23,15,0,0
2025-04-02 00:00:00+00:00,30,19,0,0
2025-04-03 00:00:00+00:00,30,20,1,1
2025-04-04 00:00:00+00:00,25,16,3,1
2025-04-05 00:00:00+00:00,28,19,0,0
2025-04-06 00:00:00+00:00,24,13,0,0
